Processing WAV file: C:\users\akohale\desktop\tap_recordings_pcm.wav (Samplerate: 48000 Hz, Total Samples: 1438080)
--- Tap Detection Log by Frame ---
Frame Size: 192 samples
----------------------------------
Frame | Start Time (s) | Tap Detected?
   76 |          0.304 | 0
   77 |          0.308 | 0
   78 |          0.312 | 0
   79 |          0.316 | 0
   80 |          0.320 | 0
   81 |          0.324 | 0
   82 |          0.328 | 0
   83 |          0.332 | 0
   84 |          0.336 | 0
   85 |          0.340 | 0
   86 |          0.344 | 0
   87 |          0.348 | 0
   88 |          0.352 | 0
   89 |          0.356 | 0
   90 |          0.360 | 0
   91 |          0.364 | 0
   92 |          0.368 | 0
   93 |          0.372 | 0
   94 |          0.376 | 0
   95 |          0.380 | 0
   96 |          0.384 | 0
   97 |          0.388 | 0
   98 |          0.392 | 0
   99 |          0.396 | 0
  100 |          0.400 | 0
  101 |          0.404 | 0
  102 |          0.408 | 0
  103 |          0.412 | 0
  104 |          0.416 | 0
  105 |          0.420 | 0
  106 |          0.424 | 0
  107 |          0.428 | 0
  108 |          0.432 | 0
  109 |          0.436 | 0
  110 |          0.440 | 0
  111 |          0.444 | 0
  112 |          0.448 | 0
  113 |          0.452 | 0
  114 |          0.456 | 0
  115 |          0.460 | 0
  116 |          0.464 | 0
  117 |          0.468 | 0
  118 |          0.472 | 0
  119 |          0.476 | 0
  120 |          0.480 | 0
  121 |          0.484 | 0
  122 |          0.488 | 0
  123 |          0.492 | 0
  124 |          0.496 | 0
  125 |          0.500 | 0
  126 |          0.504 | 0
  127 |          0.508 | 0
  128 |          0.512 | 0
  129 |          0.516 | 0
  130 |          0.520 | 0
  131 |          0.524 | 0
  132 |          0.528 | 0
  133 |          0.532 | 0
  134 |          0.536 | 0
  135 |          0.540 | 0
  136 |          0.544 | 0
  137 |          0.548 | 0
  138 |          0.552 | 0
  139 |          0.556 | 0
  140 |          0.560 | 0
  141 |          0.564 | 0
  142 |          0.568 | 0
  143 |          0.572 | 0
  144 |          0.576 | 0
  145 |          0.580 | 0
  146 |          0.584 | 0
  147 |          0.588 | 0
  148 |          0.592 | 0
  149 |          0.596 | 0
  150 |          0.600 | 0
  151 |          0.604 | 0
  152 |          0.608 | 0
  153 |          0.612 | 0
  154 |          0.616 | 0
  155 |          0.620 | 0
  156 |          0.624 | 0
  157 |          0.628 | 0
  158 |          0.632 | 0
  159 |          0.636 | 0
  160 |          0.640 | 0
  161 |          0.644 | 0
  162 |          0.648 | 0
  163 |          0.652 | 0
  164 |          0.656 | 0
  165 |          0.660 | 0
  166 |          0.664 | 0
  167 |          0.668 | 0
  168 |          0.672 | 0
  169 |          0.676 | 0
  170 |          0.680 | 0
  171 |          0.684 | 0
  172 |          0.688 | 0
  173 |          0.692 | 0
  174 |          0.696 | 0
  175 |          0.700 | 0
  176 |          0.704 | 0
  177 |          0.708 | 0
  178 |          0.712 | 0
  179 |          0.716 | 0
  180 |          0.720 | 0
  181 |          0.724 | 0
  182 |          0.728 | 0
  183 |          0.732 | 0
  184 |          0.736 | 0
  185 |          0.740 | 0
  186 |          0.744 | 0
  187 |          0.748 | 0
  188 |          0.752 | 0
  189 |          0.756 | 0
  190 |          0.760 | 0
  191 |          0.764 | 0
  192 |          0.768 | 0
  193 |          0.772 | 0
  194 |          0.776 | 0
  195 |          0.780 | 0
  196 |          0.784 | 0
  197 |          0.788 | 0
  198 |          0.792 | 0
  199 |          0.796 | 0
  200 |          0.800 | 0
  201 |          0.804 | 0
  202 |          0.808 | 0
  203 |          0.812 | 0
  204 |          0.816 | 0
  205 |          0.820 | 0
  206 |          0.824 | 0
  207 |          0.828 | 0
  208 |          0.832 | 0
  209 |          0.836 | 0
  210 |          0.840 | 0
  211 |          0.844 | 0
  212 |          0.848 | 0
  213 |          0.852 | 0
  214 |          0.856 | 0
  215 |          0.860 | 0
  216 |          0.864 | 0
  217 |          0.868 | 0
  218 |          0.872 | 0
  219 |          0.876 | 0
  220 |          0.880 | 0
  221 |          0.884 | 0
  222 |          0.888 | 0
  223 |          0.892 | 0
  224 |          0.896 | 0
  225 |          0.900 | 0
  226 |          0.904 | 0
  227 |          0.908 | 0
  228 |          0.912 | 0
  229 |          0.916 | 0
  230 |          0.920 | 0
  231 |          0.924 | 0
  232 |          0.928 | 0
  233 |          0.932 | 0
  234 |          0.936 | 0
  235 |          0.940 | 0
  236 |          0.944 | 0
  237 |          0.948 | 0
  238 |          0.952 | 0
  239 |          0.956 | 0
  240 |          0.960 | 0
  241 |          0.964 | 0
  242 |          0.968 | 0
  243 |          0.972 | 0
  244 |          0.976 | 0
  245 |          0.980 | 0
  246 |          0.984 | 0
  247 |          0.988 | 0
  248 |          0.992 | 0
  249 |          0.996 | 0
  250 |          1.000 | 0
  251 |          1.004 | 0
  252 |          1.008 | 0
  253 |          1.012 | 0
  254 |          1.016 | 0
  255 |          1.020 | 0
  256 |          1.024 | 0
  257 |          1.028 | 0
  258 |          1.032 | 0
  259 |          1.036 | 0
  260 |          1.040 | 0
  261 |          1.044 | 0
  262 |          1.048 | 0
  263 |          1.052 | 0
  264 |          1.056 | 0
  265 |          1.060 | 0
  266 |          1.064 | 0
  267 |          1.068 | 0
  268 |          1.072 | 0
  269 |          1.076 | 0
  270 |          1.080 | 0
  271 |          1.084 | 0
  272 |          1.088 | 0
  273 |          1.092 | 0
  274 |          1.096 | 0
  275 |          1.100 | 0
  276 |          1.104 | 0
  277 |          1.108 | 0
  278 |          1.112 | 0
  279 |          1.116 | 0
  280 |          1.120 | 0
  281 |          1.124 | 0
  282 |          1.128 | 0
  283 |          1.132 | 0
  284 |          1.136 | 0
  285 |          1.140 | 0
  286 |          1.144 | 0
  287 |          1.148 | 0
  288 |          1.152 | 0
  289 |          1.156 | 0
  290 |          1.160 | 0
  291 |          1.164 | 0
  292 |          1.168 | 0
  293 |          1.172 | 0
  294 |          1.176 | 0
  295 |          1.180 | 0
  296 |          1.184 | 0
  297 |          1.188 | 0
  298 |          1.192 | 0
  299 |          1.196 | 0
  300 |          1.200 | 0
  301 |          1.204 | 0
  302 |          1.208 | 0
  303 |          1.212 | 0
  304 |          1.216 | 0
  305 |          1.220 | 0
  306 |          1.224 | 0
  307 |          1.228 | 0
  308 |          1.232 | 0
  309 |          1.236 | 0
  310 |          1.240 | 0
  311 |          1.244 | 0
  312 |          1.248 | 0
  313 |          1.252 | 0
  314 |          1.256 | 0
  315 |          1.260 | 0
  316 |          1.264 | 0
  317 |          1.268 | 0
  318 |          1.272 | 0
  319 |          1.276 | 0
  320 |          1.280 | 0
  321 |          1.284 | 0
  322 |          1.288 | 0
  323 |          1.292 | 0
  324 |          1.296 | 0
  325 |          1.300 | 0
  326 |          1.304 | 0
  327 |          1.308 | 0
  328 |          1.312 | 0
  329 |          1.316 | 0
  330 |          1.320 | 0
  331 |          1.324 | 0
  332 |          1.328 | 0
  333 |          1.332 | 0
  334 |          1.336 | 0
  335 |          1.340 | 0
  336 |          1.344 | 0
  337 |          1.348 | 0
  338 |          1.352 | 0
  339 |          1.356 | 0
  340 |          1.360 | 0
  341 |          1.364 | 0
  342 |          1.368 | 0
  343 |          1.372 | 0
  344 |          1.376 | 0
  345 |          1.380 | 0
  346 |          1.384 | 0
  347 |          1.388 | 0
  348 |          1.392 | 0
  349 |          1.396 | 0
  350 |          1.400 | 0
  351 |          1.404 | 0
  352 |          1.408 | 0
  353 |          1.412 | 0
  354 |          1.416 | 0
  355 |          1.420 | 0
  356 |          1.424 | 0
  357 |          1.428 | 0
  358 |          1.432 | 0
  359 |          1.436 | 0
  360 |          1.440 | 0
  361 |          1.444 | 0
  362 |          1.448 | 0
  363 |          1.452 | 0
  364 |          1.456 | 0
  365 |          1.460 | 0
  366 |          1.464 | 0
  367 |          1.468 | 0
  368 |          1.472 | 0
  369 |          1.476 | 0
  370 |          1.480 | 0
  371 |          1.484 | 0
  372 |          1.488 | 0
  373 |          1.492 | 0
  374 |          1.496 | 0
  375 |          1.500 | 0
  376 |          1.504 | 0
  377 |          1.508 | 0
  378 |          1.512 | 0
  379 |          1.516 | 0
  380 |          1.520 | 0
  381 |          1.524 | 0
  382 |          1.528 | 0
  383 |          1.532 | 0
  384 |          1.536 | 0
  385 |          1.540 | 0
  386 |          1.544 | 0
  387 |          1.548 | 0
  388 |          1.552 | 0
  389 |          1.556 | 0
  390 |          1.560 | 0
  391 |          1.564 | 0
  392 |          1.568 | 0
  393 |          1.572 | 0
  394 |          1.576 | 0
  395 |          1.580 | 0
  396 |          1.584 | 0
  397 |          1.588 | 0
  398 |          1.592 | 0
  399 |          1.596 | 0
  400 |          1.600 | 0
  401 |          1.604 | 0
  402 |          1.608 | 0
  403 |          1.612 | 0
  404 |          1.616 | 0
  405 |          1.620 | 0
  406 |          1.624 | 0
  407 |          1.628 | 0
  408 |          1.632 | 0
  409 |          1.636 | 0
  410 |          1.640 | 0
  411 |          1.644 | 0
  412 |          1.648 | 0
  413 |          1.652 | 0
  414 |          1.656 | 0
  415 |          1.660 | 0
  416 |          1.664 | 0
  417 |          1.668 | 0
  418 |          1.672 | 0
  419 |          1.676 | 0
  420 |          1.680 | 0
  421 |          1.684 | 0
  422 |          1.688 | 0
  423 |          1.692 | 0
  424 |          1.696 | 0
  425 |          1.700 | 0
  426 |          1.704 | 0
  427 |          1.708 | 0
  428 |          1.712 | 0
  429 |          1.716 | 0
  430 |          1.720 | 0
  431 |          1.724 | 0
  432 |          1.728 | 0
  433 |          1.732 | 0
  434 |          1.736 | 0
  435 |          1.740 | 0
  436 |          1.744 | 0
  437 |          1.748 | 0
  438 |          1.752 | 0
  439 |          1.756 | 0
  440 |          1.760 | 0
  441 |          1.764 | 0
  442 |          1.768 | 0
  443 |          1.772 | 0
  444 |          1.776 | 0
  445 |          1.780 | 0
  446 |          1.784 | 0
  447 |          1.788 | 0
  448 |          1.792 | 0
  449 |          1.796 | 0
  450 |          1.800 | 0
  451 |          1.804 | 0
  452 |          1.808 | 0
  453 |          1.812 | 0
  454 |          1.816 | 0
  455 |          1.820 | 0
  456 |          1.824 | 0
  457 |          1.828 | 0
  458 |          1.832 | 0
  459 |          1.836 | 0
  460 |          1.840 | 0
  461 |          1.844 | 0
  462 |          1.848 | 0
  463 |          1.852 | 0
  464 |          1.856 | 0
  465 |          1.860 | 0
  466 |          1.864 | 0
  467 |          1.868 | 0
  468 |          1.872 | 0
  469 |          1.876 | 0
  470 |          1.880 | 0
  471 |          1.884 | 0
  472 |          1.888 | 0
  473 |          1.892 | 0
  474 |          1.896 | 0
  475 |          1.900 | 0
  476 |          1.904 | 0
  477 |          1.908 | 0
  478 |          1.912 | 0
  479 |          1.916 | 0
  480 |          1.920 | 0
  481 |          1.924 | 0
  482 |          1.928 | 0
  483 |          1.932 | 0
  484 |          1.936 | 0
  485 |          1.940 | 0
  486 |          1.944 | 0
  487 |          1.948 | 0
  488 |          1.952 | 0
  489 |          1.956 | 0
  490 |          1.960 | 0
  491 |          1.964 | 0
  492 |          1.968 | 0
  493 |          1.972 | 0
  494 |          1.976 | 0
  495 |          1.980 | 0
  496 |          1.984 | 0
  497 |          1.988 | 0
  498 |          1.992 | 0
  499 |          1.996 | 0
  500 |          2.000 | 0
  501 |          2.004 | 0
  502 |          2.008 | 0
  503 |          2.012 | 0
  504 |          2.016 | 0
  505 |          2.020 | 0
  506 |          2.024 | 0
  507 |          2.028 | 0
  508 |          2.032 | 0
  509 |          2.036 | 0
  510 |          2.040 | 0
  511 |          2.044 | 0
  512 |          2.048 | 0
  513 |          2.052 | 0
  514 |          2.056 | 0
  515 |          2.060 | 0
  516 |          2.064 | 0
  517 |          2.068 | 0
  518 |          2.072 | 0
  519 |          2.076 | 0
  520 |          2.080 | 0
  521 |          2.084 | 0
  522 |          2.088 | 0
  523 |          2.092 | 0
  524 |          2.096 | 0
  525 |          2.100 | 0
  526 |          2.104 | 0
  527 |          2.108 | 0
  528 |          2.112 | 0
  529 |          2.116 | 0
  530 |          2.120 | 0
  531 |          2.124 | 0
  532 |          2.128 | 0
  533 |          2.132 | 0
  534 |          2.136 | 0
  535 |          2.140 | 0
  536 |          2.144 | 0
  537 |          2.148 | 0
  538 |          2.152 | 0
  539 |          2.156 | 0
  540 |          2.160 | 0
  541 |          2.164 | 0
  542 |          2.168 | 0
  543 |          2.172 | 0
  544 |          2.176 | 0
  545 |          2.180 | 0
  546 |          2.184 | 0
  547 |          2.188 | 0
  548 |          2.192 | 0
  549 |          2.196 | 0
  550 |          2.200 | 0
  551 |          2.204 | 0
  552 |          2.208 | 0
  553 |          2.212 | 0
  554 |          2.216 | 0
  555 |          2.220 | 0
  556 |          2.224 | 0
  557 |          2.228 | 0
  558 |          2.232 | 0
  559 |          2.236 | 0
  560 |          2.240 | 0
  561 |          2.244 | 0
  562 |          2.248 | 0
  563 |          2.252 | 0
  564 |          2.256 | 0
  565 |          2.260 | 0
  566 |          2.264 | 0
  567 |          2.268 | 0
  568 |          2.272 | 0
  569 |          2.276 | 0
  570 |          2.280 | 0
  571 |          2.284 | 0
  572 |          2.288 | 0
  573 |          2.292 | 0
  574 |          2.296 | 0
  575 |          2.300 | 0
  576 |          2.304 | 0
  577 |          2.308 | 0
  578 |          2.312 | 0
  579 |          2.316 | 0
  580 |          2.320 | 0
  581 |          2.324 | 0
  582 |          2.328 | 0
  583 |          2.332 | 0
  584 |          2.336 | 0
  585 |          2.340 | 0
  586 |          2.344 | 0
  587 |          2.348 | 0
  588 |          2.352 | 0
  589 |          2.356 | 0
  590 |          2.360 | 0
  591 |          2.364 | 0
  592 |          2.368 | 0
  593 |          2.372 | 0
  594 |          2.376 | 0
  595 |          2.380 | 0
  596 |          2.384 | 0
  597 |          2.388 | 0
  598 |          2.392 | 0
  599 |          2.396 | 0
  600 |          2.400 | 0
  601 |          2.404 | 0
  602 |          2.408 | 0
  603 |          2.412 | 0
  604 |          2.416 | 0
  605 |          2.420 | 0
  606 |          2.424 | 0
  607 |          2.428 | 0
  608 |          2.432 | 0
  609 |          2.436 | 0
  610 |          2.440 | 0
  611 |          2.444 | 0
  612 |          2.448 | 0
  613 |          2.452 | 0
  614 |          2.456 | 0
  615 |          2.460 | 0
  616 |          2.464 | 0
  617 |          2.468 | 0
  618 |          2.472 | 0
  619 |          2.476 | 0
  620 |          2.480 | 0
  621 |          2.484 | 0
  622 |          2.488 | 0
  623 |          2.492 | 0
  624 |          2.496 | 0
  625 |          2.500 | 0
  626 |          2.504 | 0
  627 |          2.508 | 0
  628 |          2.512 | 0
  629 |          2.516 | 0
  630 |          2.520 | 0
  631 |          2.524 | 0
  632 |          2.528 | 0
  633 |          2.532 | 0
  634 |          2.536 | 0
  635 |          2.540 | 0
  636 |          2.544 | 0
  637 |          2.548 | 0
  638 |          2.552 | 0
  639 |          2.556 | 0
  640 |          2.560 | 0
  641 |          2.564 | 0
  642 |          2.568 | 0
  643 |          2.572 | 0
  644 |          2.576 | 0
  645 |          2.580 | 0
  646 |          2.584 | 0
  647 |          2.588 | 0
  648 |          2.592 | 0
  649 |          2.596 | 0
  650 |          2.600 | 0
  651 |          2.604 | 0
  652 |          2.608 | 0
  653 |          2.612 | 0
  654 |          2.616 | 0
  655 |          2.620 | 0
  656 |          2.624 | 0
  657 |          2.628 | 0
  658 |          2.632 | 0
  659 |          2.636 | 0
  660 |          2.640 | 0
  661 |          2.644 | 0
  662 |          2.648 | 0
  663 |          2.652 | 0
  664 |          2.656 | 0
  665 |          2.660 | 0
  666 |          2.664 | 0
  667 |          2.668 | 0
  668 |          2.672 | 0
  669 |          2.676 | 0
  670 |          2.680 | 0
  671 |          2.684 | 0
  672 |          2.688 | 0
  673 |          2.692 | 0
  674 |          2.696 | 0
  675 |          2.700 | 0
  676 |          2.704 | 0
  677 |          2.708 | 0
  678 |          2.712 | 0
  679 |          2.716 | 0
  680 |          2.720 | 0
  681 |          2.724 | 0
  682 |          2.728 | 0
  683 |          2.732 | 0
  684 |          2.736 | 0
  685 |          2.740 | 0
  686 |          2.744 | 0
  687 |          2.748 | 0
  688 |          2.752 | 0
  689 |          2.756 | 0
  690 |          2.760 | 0
  691 |          2.764 | 0
  692 |          2.768 | 0
  693 |          2.772 | 0
  694 |          2.776 | 0
  695 |          2.780 | 0
  696 |          2.784 | 0
  697 |          2.788 | 0
  698 |          2.792 | 0
  699 |          2.796 | 0
  700 |          2.800 | 0
  701 |          2.804 | 0
  702 |          2.808 | 0
  703 |          2.812 | 0
  704 |          2.816 | 0
  705 |          2.820 | 0
  706 |          2.824 | 0
  707 |          2.828 | 0
  708 |          2.832 | 0
  709 |          2.836 | 0
  710 |          2.840 | 0
  711 |          2.844 | 0
  712 |          2.848 | 0
  713 |          2.852 | 0
  714 |          2.856 | 0
  715 |          2.860 | 0
  716 |          2.864 | 0
  717 |          2.868 | 0
  718 |          2.872 | 0
  719 |          2.876 | 0
  720 |          2.880 | 0
  721 |          2.884 | 0
  722 |          2.888 | 0
  723 |          2.892 | 0
  724 |          2.896 | 0
  725 |          2.900 | 0
  726 |          2.904 | 0
  727 |          2.908 | 0
  728 |          2.912 | 0
  729 |          2.916 | 0
  730 |          2.920 | 0
  731 |          2.924 | 0
  732 |          2.928 | 0
  733 |          2.932 | 0
  734 |          2.936 | 0
  735 |          2.940 | 0
  736 |          2.944 | 0
  737 |          2.948 | 0
  738 |          2.952 | 0
  739 |          2.956 | 0
  740 |          2.960 | 0
  741 |          2.964 | 0
  742 |          2.968 | 0
  743 |          2.972 | 0
  744 |          2.976 | 0
  745 |          2.980 | 0
  746 |          2.984 | 0
  747 |          2.988 | 0
  748 |          2.992 | 0
  749 |          2.996 | 0
  750 |          3.000 | 0
  751 |          3.004 | 0
  752 |          3.008 | 0
  753 |          3.012 | 0
  754 |          3.016 | 0
  755 |          3.020 | 0
  756 |          3.024 | 0
  757 |          3.028 | 0
  758 |          3.032 | 0
  759 |          3.036 | 0
  760 |          3.040 | 0
  761 |          3.044 | 0
  762 |          3.048 | 0
  763 |          3.052 | 0
  764 |          3.056 | 0
  765 |          3.060 | 0
  766 |          3.064 | 0
  767 |          3.068 | 0
  768 |          3.072 | 0
  769 |          3.076 | 0
  770 |          3.080 | 0
  771 |          3.084 | 0
  772 |          3.088 | 0
  773 |          3.092 | 0
  774 |          3.096 | 0
  775 |          3.100 | 0
  776 |          3.104 | 0
  777 |          3.108 | 0
  778 |          3.112 | 0
  779 |          3.116 | 0
  780 |          3.120 | 0
  781 |          3.124 | 0
  782 |          3.128 | 0
  783 |          3.132 | 0
  784 |          3.136 | 0
  785 |          3.140 | 0
  786 |          3.144 | 0
  787 |          3.148 | 0
  788 |          3.152 | 0
  789 |          3.156 | 0
  790 |          3.160 | 0
  791 |          3.164 | 0
  792 |          3.168 | 0
  793 |          3.172 | 0
  794 |          3.176 | 0
  795 |          3.180 | 0
  796 |          3.184 | 0
  797 |          3.188 | 0
  798 |          3.192 | 0
  799 |          3.196 | 0
  800 |          3.200 | 0
  801 |          3.204 | 0
  802 |          3.208 | 0
  803 |          3.212 | 0
  804 |          3.216 | 0
  805 |          3.220 | 0
  806 |          3.224 | 0
  807 |          3.228 | 0
  808 |          3.232 | 0
  809 |          3.236 | 0
  810 |          3.240 | 0
  811 |          3.244 | 0
  812 |          3.248 | 0
  813 |          3.252 | 0
  814 |          3.256 | 0
  815 |          3.260 | 0
  816 |          3.264 | 0
  817 |          3.268 | 0
  818 |          3.272 | 0
  819 |          3.276 | 0
  820 |          3.280 | 0
  821 |          3.284 | 0
  822 |          3.288 | 0
  823 |          3.292 | 0
  824 |          3.296 | 0
  825 |          3.300 | 0
  826 |          3.304 | 0
  827 |          3.308 | 0
  828 |          3.312 | 0
  829 |          3.316 | 0
  830 |          3.320 | 0
  831 |          3.324 | 0
  832 |          3.328 | 0
  833 |          3.332 | 0
  834 |          3.336 | 0
  835 |          3.340 | 0
  836 |          3.344 | 0
  837 |          3.348 | 0
  838 |          3.352 | 0
  839 |          3.356 | 0
  840 |          3.360 | 0
  841 |          3.364 | 0
  842 |          3.368 | 0
  843 |          3.372 | 0
  844 |          3.376 | 0
  845 |          3.380 | 0
  846 |          3.384 | 0
  847 |          3.388 | 0
  848 |          3.392 | 0
  849 |          3.396 | 0
  850 |          3.400 | 0
  851 |          3.404 | 0
  852 |          3.408 | 0
  853 |          3.412 | 0
  854 |          3.416 | 0
  855 |          3.420 | 0
  856 |          3.424 | 0
  857 |          3.428 | 0
  858 |          3.432 | 0
  859 |          3.436 | 0
  860 |          3.440 | 0
  861 |          3.444 | 0
  862 |          3.448 | 0
  863 |          3.452 | 0
  864 |          3.456 | 0
  865 |          3.460 | 0
  866 |          3.464 | 0
  867 |          3.468 | 0
  868 |          3.472 | 0
  869 |          3.476 | 0
  870 |          3.480 | 0
  871 |          3.484 | 0
  872 |          3.488 | 0
  873 |          3.492 | 0
  874 |          3.496 | 0
  875 |          3.500 | 0
  876 |          3.504 | 0
  877 |          3.508 | 0
  878 |          3.512 | 0
  879 |          3.516 | 0
  880 |          3.520 | 0
  881 |          3.524 | 0
  882 |          3.528 | 0
  883 |          3.532 | 0
  884 |          3.536 | 0
  885 |          3.540 | 0
  886 |          3.544 | 0
  887 |          3.548 | 0
  888 |          3.552 | 0
  889 |          3.556 | 0
  890 |          3.560 | 0
  891 |          3.564 | 0
  892 |          3.568 | 0
  893 |          3.572 | 0
  894 |          3.576 | 0
  895 |          3.580 | 0
  896 |          3.584 | 0
  897 |          3.588 | 0
  898 |          3.592 | 0
  899 |          3.596 | 0
  900 |          3.600 | 0
  901 |          3.604 | 0
  902 |          3.608 | 0
  903 |          3.612 | 0
  904 |          3.616 | 0
  905 |          3.620 | 0
  906 |          3.624 | 0
  907 |          3.628 | 0
  908 |          3.632 | 0
  909 |          3.636 | 0
  910 |          3.640 | 0
  911 |          3.644 | 0
  912 |          3.648 | 0
  913 |          3.652 | 0
  914 |          3.656 | 0
  915 |          3.660 | 0
  916 |          3.664 | 0
  917 |          3.668 | 0
  918 |          3.672 | 0
  919 |          3.676 | 0
  920 |          3.680 | 0
  921 |          3.684 | 0
  922 |          3.688 | 0
  923 |          3.692 | 0
  924 |          3.696 | 0
  925 |          3.700 | 0
  926 |          3.704 | 0
  927 |          3.708 | 0
  928 |          3.712 | 0
  929 |          3.716 | 0
  930 |          3.720 | 0
  931 |          3.724 | 0
  932 |          3.728 | 0
  933 |          3.732 | 0
  934 |          3.736 | 0
  935 |          3.740 | 0
  936 |          3.744 | 0
  937 |          3.748 | 0
  938 |          3.752 | 0
  939 |          3.756 | 0
  940 |          3.760 | 0
  941 |          3.764 | 0
  942 |          3.768 | 0
  943 |          3.772 | 0
  944 |          3.776 | 0
  945 |          3.780 | 0
  946 |          3.784 | 0
  947 |          3.788 | 0
  948 |          3.792 | 0
  949 |          3.796 | 0
  950 |          3.800 | 0
  951 |          3.804 | 0
  952 |          3.808 | 0
  953 |          3.812 | 0
  954 |          3.816 | 0
  955 |          3.820 | 0
  956 |          3.824 | 0
  957 |          3.828 | 0
  958 |          3.832 | 0
  959 |          3.836 | 0
  960 |          3.840 | 0
  961 |          3.844 | 0
  962 |          3.848 | 0
  963 |          3.852 | 0
  964 |          3.856 | 0
  965 |          3.860 | 0
  966 |          3.864 | 0
  967 |          3.868 | 0
  968 |          3.872 | 0
  969 |          3.876 | 0
  970 |          3.880 | 0
  971 |          3.884 | 0
  972 |          3.888 | 0
  973 |          3.892 | 0
  974 |          3.896 | 0
  975 |          3.900 | 0
  976 |          3.904 | 0
  977 |          3.908 | 0
  978 |          3.912 | 0
  979 |          3.916 | 0
  980 |          3.920 | 0
  981 |          3.924 | 0
  982 |          3.928 | 0
  983 |          3.932 | 0
  984 |          3.936 | 0
  985 |          3.940 | 0
  986 |          3.944 | 0
  987 |          3.948 | 0
  988 |          3.952 | 0
  989 |          3.956 | 0
  990 |          3.960 | 0
  991 |          3.964 | 0
  992 |          3.968 | 0
  993 |          3.972 | 0
  994 |          3.976 | 0
  995 |          3.980 | 0
  996 |          3.984 | 0
  997 |          3.988 | 0
  998 |          3.992 | 0
  999 |          3.996 | 0
 1000 |          4.000 | 0
 1001 |          4.004 | 0
 1002 |          4.008 | 0
 1003 |          4.012 | 0
 1004 |          4.016 | 0
 1005 |          4.020 | 0
 1006 |          4.024 | 0
 1007 |          4.028 | 0
 1008 |          4.032 | 0
 1009 |          4.036 | 0
 1010 |          4.040 | 0
 1011 |          4.044 | 0
 1012 |          4.048 | 0
 1013 |          4.052 | 0
 1014 |          4.056 | 0
 1015 |          4.060 | 0
 1016 |          4.064 | 0
 1017 |          4.068 | 0
 1018 |          4.072 | 0
 1019 |          4.076 | 0
 1020 |          4.080 | 0
 1021 |          4.084 | 0
 1022 |          4.088 | 0
 1023 |          4.092 | 0
 1024 |          4.096 | 0
 1025 |          4.100 | 0
 1026 |          4.104 | 0
 1027 |          4.108 | 0
 1028 |          4.112 | 0
 1029 |          4.116 | 0
 1030 |          4.120 | 0
 1031 |          4.124 | 0
 1032 |          4.128 | 0
 1033 |          4.132 | 0
 1034 |          4.136 | 0
 1035 |          4.140 | 0
 1036 |          4.144 | 0
 1037 |          4.148 | 0
 1038 |          4.152 | 0
 1039 |          4.156 | 0
 1040 |          4.160 | 0
 1041 |          4.164 | 0
 1042 |          4.168 | 0
 1043 |          4.172 | 0
 1044 |          4.176 | 0
 1045 |          4.180 | 0
 1046 |          4.184 | 0
 1047 |          4.188 | 0
 1048 |          4.192 | 0
 1049 |          4.196 | 0
 1050 |          4.200 | 0
 1051 |          4.204 | 0
 1052 |          4.208 | 0
 1053 |          4.212 | 0
